Year	Page	Abstract
2013	1	SMART-scan (Selection of Models for the Analysis of Risk-factor Trees): Leveraging biological knowledge to mine large sets of risk factors with application to microbiome data
2013	1	Polygenic Risk Score Associations may be improved with simple procedures
2013	1	Geographic genetic diversity in the United States and implications for genomewide association studies
2013	1	Investigating genetic and epigenetic variation in the chromosome 2q region linked to tissue factor pathway inhibitor plasma levels
2013	1	Optimal Selection of Individuals for Genotyping in Genetic Association Studies with Related Individuals
2013	1	Effectively identifying eQTLs from multiple tissues by combining mixed model and meta-analytic approaches
2013	1	Accounting for cellular heterogeneity is critical in epigenome-wide association studies
2013	1	Reconstructing Pedigrees from Estimates of Genomic Sharing in Admixed Populations
2013	1	Design matters! A statistical framework to guide sequencing choices in pedigrees
2013	1	Poly-Omic Prediction of Complex Traits – OmicKriging
2013	1	Genome-wide scan of inversions predisposing to secondary rearrangements using case-parent trio data
2013	1	Sequence Data in Family Studies: the Framingham Heart Study
2013	1	Sequence Kernel Association Test in Family Samples with Repeated Phenotype Measurements or Multiple Traits
2013	1	Sharing of rare variants by affected relatives: building evidence for causal variants based on exact sharing probabilities
2013	1	Design of Sequence-based Follow-up to GWAS
2013	1	Variants Affecting Exon Skipping in Very Important Pharmacogenes
2013	1	Imputation without doing imputation: a new method for the detection of non-genotyped causal variants
2013	1	Detecting genetic heterogeneity in complex diseases with a weighted U statistic
2013	2	Functional data analysis of blood-based DNA methylation profiles and ovarian cancer risk
2013	2	Inferring Human Phenotype Networks from Pathway-based Analysis
2013	2	Microsatellite Polymorphisms Create an Abundant Source of Expression Variability
2013	2	Meta-Analysis of Gene-Level Associations for Rare Variants Based on Single-Variant Statistics
2013	2	Integrating Multiple Correlated Phenotypes for Genetic Association Analysis Through Heritability
2013	2	Association of plasma uric acid with ischemic heart disease and blood pressure: Mendelian randomization analysis of two large cohorts
2013	2	Enhancing case-control genetic studies using sample surveys
2013	2	Testing Association without Calling Genotypes Allows for Systematic Differences in Read Depth between Cases and Controls
2013	2	Population Stratification Detection and Correction in Rare Variant Collapsing Methods Using Principal Component Analysis
2013	2	Maximizing the power in Principal Components Analysis of Correlated Phenotypes
2013	2	Imputation of Case/Control Study Samples Genotyped On Different SNP Chips
2013	2	Prevention and control of β-thalassemia and other genetic diseases in consanguineous Pakistani population
2013	2	Analyses of WES data in multiplex Syrian oral clefts families
2013	2	Computationally efficient inference for family-based genomewide association studies with random effects and missing data
2013	2	Leveraging Auxiliary Information for SNP Selection in Genetic Association Studies
2013	2	Powerful testing via hierarchical linkage disequilibrium in haploytype association studies
2013	2	Reclassification in genetic risk prediction over time
2013	3	Population Structure in the Cincinnati area
2013	3	Robust methods in three common statistical genetics applications
2013	3	Detecting Rare Haplotype-Environment Interaction with Logistic Bayesian LASSO
2013	3	Ensemble testing of multivariate phenotypes in genetic association studies
2013	3	Comparison of permutations strategies to assess gene-set significance in gene-set-enrichment analysis
2013	3	Genome-Wide Association Analysis of Density Gradient Ultracentrifugation Data
2013	3	Classifying rare variants from sequenced data
2013	3	Integrative analysis of genetic variation and DNA methylation in an ovarian cancer etiology study
2013	3	Genome-wide pattern of informative missingness using HapMap data
2013	3	Application of Weighted Quantile Regression to Pathway Analysis
2013	3	Rare Variant Tests for Time-to-event Outcomes
